1,スターマイン,3,1,C,0.4,
3,スターマイン,3,2,C,0.5,
5,スターマイン,3,3,C,0.6,
7,スターマイン,2,2,C,0.3,
7,スターマイン,3,2,C,0.3,
7,スターマイン,4,2,C,0.3,
8,スターマイン,1,1,C,0.5,
9,スターマイン,5,1,C,0.5,
9.5,スターマイン,1,2,C,0.3,
10,スターマイン,5,2,C,0.3,
10.5,スターマイン,3,2,C,0.6,
11.1,スターマイン,2,3,L,0.4,
11.3,スターマイン,4,3,R,0.4,
11.5,スターマイン,3,1,C,0.4,
11.7,スターマイン,4,3,C,0.4,
12,スターマイン,1,2,R,0.4,
12,スターマイン,5,2,L,0.4,
13,スターマイン,3,2,C,0.4,
13.5,スターマイン,2,1,C,0.4,
13.5,スターマイン,4,1,C,0.4,
14,スターマイン,5,1,L,0.3,
14.5,スターマイン,4,1,L,0.4,
15,スターマイン,3,3,L,0.4,
15.2,スターマイン,1,3,R,0.4,
15.4,スターマイン,2,3,R,0.4,
16,牡丹,3,2,C,0.5,
16.4,花雷,2,1,R,0.4,
16.4,花雷,4,1,L,0.4,
17,スターマイン,1,1,C,0.3,
17.5,スターマイン,5,1,C,0.3,
18,形花火,3,3,C,0.5,
19,牡丹,1,2,C,0.5,
19,牡丹,5,2,C,0.5,
20,花雷,3,1,C,0.7,
20.2,花雷,2,2,C,0.4,
20.2,花雷,4,2,C,0.4,
23.5,菊,3,2,C,0.5,
27,菊,3,2,C,0.5,
30,菊,3,3,C,0.5,ここまで前半
31,スターマイン,3,2,C,0.5,
