1,土星,3,1,C,0.5,
1.3,スターマイン,3,1,R,0.5,
3,芯入り菊,4,2,C,0.5,
5,牡丹,1,1,R,0.5,
5,牡丹,5,2,L,0.5,
7,菊,2,1,R,0.5,
7,牡丹,3,1,C,0.5,
7,スターマイン,4,3,L,0.5,
9,土星,1,2,R,0.5,
9,土星,5,3,L,0.5,
11,小割,3,2,C,0.5,
11.5,スターマイン,2,3,C,0.5,
11.5,スターマイン,4,3,C,0.5,ここまで1
12.4,花雷,3,2,C,0.5,ここから2
12.9,芯入り菊,2,2,C,0.5,
12.9,芯入り菊,5,2,L,0.5,
13.5,土星,2,1,C,0.5,
13.5,菊,1,3,C,0.5,
13.5,スターマイン,3,1,C,0.5,
14,土星,5,3,L,0.5,
14.5,土星,4,3,C,0.5,
15,牡丹,5,1,C,0.5,
15.3,牡丹,4,2,C,0.5,
15.6,牡丹,3,3,C,0.5,
15.9,土星,2,2,C,0.5,
16.2,芯入り菊,1,1,C,0.5,
16.7,花雷,3,1,C,0.5,
18,土星,3,3,C,0.5,
18.5,スターマイン,2,2,C,0.5,
18.5,牡丹,4,3,C,0.5,
19.5,小割,3,1,C,0.5,
20,土星,1,1,R,0.5,
20,土星,5,1,L,0.5,
21,菊,2,2,C,0.5,
21,菊,4,2,C,0.5,
22,スターマイン,1,2,C,0.5,
22,スターマイン,3,2,C,0.5,
22,スターマイン,5,2,C,0.5,
22.5,牡丹,2,1,C,0.6,
23,形花火,4,3,C,0.7,ここまで2
26,土星,3,3,C,0.5,ここから3
27,菊,3,1,C,0.5,
28.5,スターマイン,2,2,C,0.5,
28.5,スターマイン,4,2,C,0.5,
29,芯入り菊,3,3,C,0.5,
30.5,牡丹,4,3,C,0.5,
31,菊,3,3,C,0.5,
31,スターマイン,5,1,C,0.5,
32,土星,2,1,C,0.5,
32.5,菊,1,2,C,0.5,
32.5,菊,3,2,C,0.5,
33.5,土星,5,2,L,0.5,
34.5,土星,1,3,R,0.5,
35.5,牡丹,2,2,C,0.5,
35.5,牡丹,3,2,C,0.5,
35.5,牡丹,4,2,C,0.5,
37,土星,3,3,C,0.5,
39,花雷,2,1,C,0.5,
39,花雷,4,1,C,0.5,
42,小割,3,3,C,0.6,ここまで3
45.5,土星,3,1,C,0.6,ここから4
45.7,牡丹,2,1,C,0.5,
45.7,牡丹,4,1,C,0.5,
46,菊,1,2,R,0.5,
46,菊,5,2,L,0.5,
47,土星,2,2,R,0.5,
47.5,芯入り菊,3,1,C,0.5,
48,花雷,4,3,L,0.5,
49,菊,1,3,C,0.5,
49.5,芯入り菊,2,2,C,0.5,
50,小割,3,3,C,0.5,
51,土星,2,3,R,0.5,
51.5,スターマイン,3,2,C,0.5,
52,スターマイン,3,2,L,0.5,
53,花雷,3,2,C,0.5,
53.5,菊,2,1,C,0.5,
54,菊,4,1,C,0.5,
54.5,小割,3,1,C,0.5,
55,牡丹,1,3,R,0.5,
55,スターマイン,5,2,L,0.5,
56,土星,3,1,C,0.5,
57,菊,1,2,R,0.5,
57.5,スターマイン,5,3,L,0.5,
57.5,スターマイン,4,1,L,0.5,
58,花雷,2,1,C,0.5,
59,菊,1,1,C,0.5,
59.5,牡丹,2,2,C,0.5,
60,芯入り菊,3,3,C,0.5,
60.5,土星,4,1,C,0.5,
61,花雷,5,2,C,0.5,
61.5,小割,4,3,C,0.5,
62,スターマイン,3,1,C,0.5,
62.5,菊,2,2,C,0.5,
63,牡丹,1,3,C,0.5,
63.5,芯入り菊,2,1,C,0.5,
64,土星,3,2,C,0.5,
65.5,形花火,3,2,C,0.7,
66,形花火,2,2,C,0.7,
66,形花火,4,2,C,0.7,
67,牡丹,3,3,C,0.5,ここまで4
67.5,牡丹,2,1,C,0.5,ここから5
67.5,牡丹,4,1,C,0.5,
68,菊,1,1,C,0.5,
68,菊,5,1,C,0.5,
69,スターマイン,1,1,C,0.5,
69,スターマイン,2,1,C,0.5,
70,スターマイン,4,3,C,0.5,
70,スターマイン,5,3,C,0.5,
71,菊,2,1,C,0.5,
71,菊,4,1,C,0.5,
71.5,土星,1,3,R,0.5,
71.5,土星,5,3,L,0.5,
72,土星,3,1,C,0.6,
72.5,花雷,2,2,R,0.5,
72.5,花雷,4,2,L,0.5,
73,小割,3,3,C,0.5,
73.5,菊,1,3,R,0.5,
73.5,菊,5,3,L,0.5,
74.5,菊,2,3,C,0.5,
74.5,菊,4,2,C,0.5,
75,花雷,3,1,C,0.5,
75.5,菊,2,2,C,0.5,
75.5,菊,4,3,C,0.5,
76,土星,1,3,R,0.5,
76,土星,5,3,L,0.5,
77,花雷,2,1,R,0.5,
77.5,花雷,4,2,L,0.5,
78,花雷,1,1,R,0.5,
78.5,花雷,5,3,L,0.5,
79,形花火,3,1,C,0.7,ここまで5
82,花雷,3,3,C,0.5,ここから6
82.5,スターマイン,2,1,C,0.5,
83,土星,1,3,C,0.5,
84,牡丹,3,1,C,0.5,
84.5,スターマイン,4,1,C,0.5,
85,土星,5,3,C,0.5,
86,花雷,3,3,C,0.5,
86.5,菊,2,3,C,0.5,
86.5,菊,4,3,C,0.5,
87.5,小割,3,2,C,0.5,
88,芯入り菊,2,3,C,0.5,
88,芯入り菊,4,3,C,0.5,
88.5,土星,1,3,R,0.5,
88.5,土星,5,3,L,0.5,
89.5,形花火,1,2,R,0.8,
89.5,形花火,2,2,C,0.8,
89.5,形花火,3,2,C,0.8,
89.5,形花火,4,2,C,0.8,
89.5,形花火,5,2,L,0.8,
90,形花火,3,1,C,0.9,ここまで6
